item_name,item_class,description,weight,size,value,hands_to_wield,weapon_damage,weapon_group,minimum_strength,minimum_range,short_range,maximum_range,armor_rating,armor_weight_class,armor_penalty,armor strain,shield bonus,weight_capacity,volume_capacity
Gold,Currency,"A gold coin, weighing 1 troy oz",0.0685714,0.000425381,1,1,,,,,,,,,,,,,
Silver,Currency,"A gold coin, weighing 1 troy oz",0.0685714,0.000782511,0.1,1,,,,,,,,,,,,,
Copper,Currency,"A gold coin, weighing 1 troy oz",0.0685714,0.000919064,0.01,1,,,,,,,,,,,,,
Standard Backpack,Container,"Many adventurers prefer a small, standard backpack. This simple canvas sack won?t get in the way in a fight and can carry up to 25 pounds of cargo.",2,7,0.9,1,,,,,,,,,,,,25,6.6
Travelers Backpack,Container,"Those with more belongings or who want more organization carry a traveler?s backpack: a larger backpack separated into several compartments, each secured behind its own tie-down flap, and with a total capacity of 75 pounds.",4,20.5,1.5,1,,,,,,,,,,,,75,20
Barrel,Container,"A large wooden vessel bound with iron hoops, a barrel can carry up to 35 gallons of liquid or 175 pounds of a solid material (such as flour). Barrels are typically made of whatever wood is native to the area of its construction, but more expensive barrels are made of rarer materials or wood chosen for how it will flavor or affect what?s stored inside.",55,45,0.9,2,,,,,,,,,,,,175,35
Reed basket,Container,"A simple, open container woven of dried reeds.",0.3,2.7,0.07,1,,,,,,,,,,,,10,2.5
clay bottle,Container,"A small, fragile container available in a variety of sizes that can contain anything from a few ounces of liquid up to 3 pints. Typically made of baked clay, more expensive versions are made of colored glass, but all come with a clay or cork stopper to seal it shut.",1,0.04,0.03,1,,,,,,,,,,,,,0.0375
glass bottle,Container,"A small, fragile container available in a variety of sizes that can contain anything from a few ounces of liquid up to 3 pints. Typically made of baked clay, more expensive versions are made of colored glass, but all come with a clay or cork stopper to seal it shut.",1,0.04,0.08,1,,,,,,,,,,,,,0.0375
wood bucket,Container,"Whether you?re fighting a fire, carrying up to 5 gallons of fresh water, or just flipping it over to make an improvised stool, this wooden bucket is what you need.",5,5.5,0.11,1,,,,,,,,,,,,,5
cask,Container,"A smaller barrel, a cask holds between 9 and 10 gallons of liquid or 50 pounds of solid material.",30,11,0.3,2,,,,,,,,,,,,50,10
large chest,Container,"A sturdy, wooden box with a hinged lid and a hasp that allows it to be locked shut using a separate lock. Small chests have up to 3 cubic feet of internal storage, while large chests can contain up to 12 cubic feet of material.",75,91,5,2,,,,,,,,,,,,,90
small chest,Container,"A sturdy, wooden box with a hinged lid and a hasp that allows it to be locked shut using a separate lock. Small chests have up to 3 cubic feet of internal storage, while large chests can contain up to 12 cubic feet of material.",30,23,1,2,,,,,,,,,,,,,22.5
crate,Container,"A reinforced wooden box, crates can be constructed anywhere from 1 to 3 feet on an edge in order to contain a wide variety of objects and materials.",250,202,0.2,2,,,,,,,,,,,,,200
Metal flask,Container,"A small, flat metal container designed to carry up to one pint of liquid in a pocket.",0.3,0.0165,0.5,1,,,,,,,,,,,,,0.0125
Hasp,Item,"Two pieces of metal that can be attached to a container, then one folded over the other to provide a loop where a lock can seal the container shut. A hasp and a pair of hinges can convert a simple crate into a crude chest.",0.0125,0.035,0.4,1,,,,,,,,,,,,,
Hinge,Item,A jointed piece of metal that allows a door or lid to swing open and closed.,0.2,0.028,0.1,1,,,,,,,,,,,,,
Cylinder lock,Lock,"Intricate clockwork mechanisms designed to keep something closed or sealed. Cylinder locks are opened by twisting dials that move the tumblers inside its casing, slowing thieves but able to be opened by those with enough persistence to attempt enough possibilities. Keyed locks are more secure, opening only to those who carry a unique, matching key, but are vulnerable to thieves skilled in using lockpicks.",0.5,0.026,2,1,,,,,,,,,,,,,
Keyed lock,Lock,"Intricate clockwork mechanisms designed to keep something closed or sealed. Cylinder locks are opened by twisting dials that move the tumblers inside its casing, slowing thieves but able to be opened by those with enough persistence to attempt enough possibilities. Keyed locks are more secure, opening only to those who carry a unique, matching key, but are vulnerable to thieves skilled in using lockpicks.",0.75,0.4,6,1,,,,,,,,,,,,,
Belt pouch,Container,A small bag held shut by a button or drawstring. More expensive pouches have leather tabs that allow them to be threaded onto a belt for easier carrying and access.,0.35,0.5,0.1,1,,,,,,,,,,,,,0.25
Pouch,Container,A small bag held shut by a button or drawstring. More expensive pouches have leather tabs that allow them to be threaded onto a belt for easier carrying and access.,0.35,0.5,0.08,1,,,,,,,,,,,,,0.25
Sack,Container,"A simple bag of rough material that can carry up to 40 pounds of cargo, but is very prone to ripping open if over-loaded, and can be difficult to seal shut if near to full.",0.75,5,0.05,1,,,,,,,,,,,,40,4.75
Sawdust,Item,"Clean, fresh sawdust is sold cheaply in quantity to those who wish to fill in the loose space in a container with packing material to protect its contents from damage in transit.",8,7.5,0.01,1,,,,,,,,,,,,,
Water skin,Container,"Water is a necessity and a prepared adventurer ensures a ready supply. Wine is a luxury, but many adventurers try to bring some of it along as well.",0.35,0.6,0.4,1,,,,,,,,,,,,,0.5
Portable Anvil,Item,"Similar to the enormous chunk of iron next to a blacksmith?s forge, this smaller version still weighs 40 pounds but can be moved around and used on the road for emergency repairs of weapons, armor, horseshoes, and more.",40,1.5,4,2,,,,,,,,,,,,,
Awl,Tool,"A short wooden handle attached to a metal spike, used to punch holes in heavy materials such as leather.",0.2,0.463,0.3,1,,,,,,,,,,,,,
Wood axe,Tool,"A heavy axe on a three-foot shaft, appropriate for felling and trimming trees.",5.85,0.9,0.8,2,,,,,,,,,,,,,
